epoch,loss,val_loss
0,1.6815566220092772,2.2789920639038086
1,1.6684384787368773,2.2866721839904787
2,1.6627912855911255,2.3183514862060548
3,1.6490093033599853,2.2963823181152345
4,1.6430996690750121,2.2758602741241454
5,1.6317037369155885,2.2837176849365233
6,1.6360725649261474,2.2741437248229981
7,1.6186538611221313,2.2988212467193603
8,1.6073515968704224,2.2805439662933349
9,1.6049935134124755,2.2919868103027343
10,1.5892160140228271,2.2755325519561769
11,1.5865056693267823,2.2851163433074952
12,1.5764895864105224,2.2629643650054931
13,1.5696886232757568,2.3363106700897216
14,1.5636196652603149,2.2668447113037109
15,1.5622334509277345,2.3271298385620116
16,1.5462424741363525,2.2954587471008301
17,1.5398098561096192,2.3199405353546143
18,1.5398603112030029,2.3109910186767579
19,1.5306219274902344,2.3720474159240723
20,1.539139554824829,2.3012290840148926
21,1.500269554824829,2.3046729564666748
22,1.5074006058502196,2.2869760120391844
23,1.4931932435607911,2.3090037830352785
24,1.4859110860824585,2.3161450382232665
25,1.4834026682281494,2.3019129093170165
26,1.4740524576568603,2.3152722480773926
27,1.4752841434478761,2.3351666980743406
28,1.4655652833938599,2.2899428047180175
29,1.4503187851333619,2.3050371131896972
30,1.4495488462829589,2.3140109798431396
31,1.4352396350097656,2.4129694732666014
32,1.4339713344955445,2.300909029006958
33,1.4260221338272094,2.3170357662200929
34,1.4333909951019288,2.3228488044738769
35,1.4164518738937377,2.3127566131591797
36,1.444129617843628,2.3066154033660888
37,1.3935747397232057,2.3040783153533937
38,1.3875785738754272,2.3207183544158934
39,1.380833966178894,2.3180826984405516
40,1.3837576420974731,2.3372035732269287
41,1.3746075038146972,2.3182412513732911
42,1.3672296889114379,2.3152765544891358
43,1.3670421984863281,2.3353796173095702
44,1.3592061148834229,2.340527814102173
45,1.3543266218566894,2.3520820556640625
46,1.3450751993179322,2.3206126674652099
47,1.3400549905776977,2.339057395172119
48,1.3337077039718628,2.3285480148315432
49,1.3263943235778808,2.32901276512146
